Age,Likely Ethnicity,Precinct,Borrud - SD24: Responses,Total People
50 to 64,Asian,Rochester W1 P12,Lean Aleta,1
50 to 64,Asian,Rochester W1 P2,Strong Aleta,1
50 to 64,Asian,Rochester W1 P4,Lean Aleta,1
50 to 64,Asian,Rochester W1 P8,Undecided,1
49 to 64,Asian,Rochester W2 P9,Strong Aleta,1
50 to 64,Asian,Rochester W2 P10,Strong Aleta,1
50 to 64,Asian,Rochester W4 P11,Lean Aleta,1
50 to 64,Asian,Rochester W1 P6,Lean Aleta,1
50 to 64,Asian,Rochester W2 P4,Strong Aleta,1
50 to 64,Asian,Rochester W2 P5,Undecided,1
50 to 64,Asian,Rochester W2 P9,Strong Aleta,1
50 to 64,Asian,Rochester W2 P9,Lean Aleta,1
50 to 64,Asian,Rochester W4 P12,Lean Aleta,1
50 to 64,Asian,Rochester W1 P2,Strong Aleta,1
50 to 64,Asian,Rochester W2 P5,Lean Aleta,1
50 to 64,Black,Rochester W2 P1,Lean Aleta,1
50 to 64,Black,Rochester W2 P6,Strong Aleta,1
50 to 64,Black,Rochester W4 P10,Undecided,1
50 to 64,Black,Rochester W4 P11,Strong Aleta,1
50 to 64,Black,Stewartville,Strong Aleta,1
50 to 64,Black,Rochester W2 P1,Strong Aleta,1
50 to 64,Black,Rochester W2 P2,Strong Aleta,1
50 to 64,Black,Rochester W4 P11,Strong Aleta,1
50 to 64,Hispanic,Kasson P-2,Lean Nelson,1
50 to 64,Hispanic,Rochester W1 P9,Strong Aleta,1
50 to 64,Hispanic,Rochester W1 P7,Undecided,1
45 to 64,White,Byron,Strong Aleta,1
46 to 64,White,Byron,Strong Aleta,1
47 to 64,White,Byron,Strong Aleta,1
48 to 64,White,Byron,Strong Aleta,1
49 to 64,White,Byron,Strong Aleta,1
50 to 64,White,Byron,Strong Aleta,1
39 to 64,White,Byron,Lean Aleta,1
40 to 64,White,Byron,Lean Aleta,1
41 to 64,White,Byron,Lean Aleta,1
42 to 64,White,Byron,Lean Aleta,1
43 to 64,White,Byron,Lean Aleta,1
44 to 64,White,Byron,Lean Aleta,1
45 to 64,White,Byron,Lean Aleta,1
46 to 64,White,Byron,Lean Aleta,1
47 to 64,White,Byron,Lean Aleta,1
48 to 64,White,Byron,Lean Aleta,1
49 to 64,White,Byron,Lean Aleta,1
50 to 64,White,Byron,Lean Aleta,1
43 to 64,White,Byron,Undecided,1
44 to 64,White,Byron,Undecided,1
45 to 64,White,Byron,Undecided,1
46 to 64,White,Byron,Undecided,1
47 to 64,White,Byron,Undecided,1
48 to 64,White,Byron,Undecided,1
49 to 64,White,Byron,Undecided,1
50 to 64,White,Byron,Undecided,1
49 to 64,White,Byron,Lean Nelson,1
50 to 64,White,Byron,Lean Nelson,1
48 to 64,White,Hayfield,Lean Aleta,1
49 to 64,White,Hayfield,Lean Aleta,1
50 to 64,White,Hayfield,Lean Aleta,1
49 to 64,White,Hayfield,Undecided,1
50 to 64,White,Hayfield,Undecided,1
50 to 64,White,Hayfield,Lean Nelson,1
50 to 64,White,Kalmar Twp.,Strong Aleta,1
50 to 64,White,Kalmar Twp.,Lean Aleta,1
47 to 64,White,Kasson P-1,Strong Aleta,1
48 to 64,White,Kasson P-0,Strong Aleta,1
49 to 64,White,Kasson P-1,Strong Aleta,1
50 to 64,White,Kasson P-2,Strong Aleta,1
48 to 64,White,Kasson P-0,Lean Aleta,1
49 to 64,White,Kasson P-1,Lean Aleta,1
50 to 64,White,Kasson P-2,Lean Aleta,1
46 to 64,White,Kasson P-2,Undecided,1
47 to 64,White,Kasson P-1,Undecided,1
48 to 64,White,Kasson P-0,Undecided,1
49 to 64,White,Kasson P-1,Undecided,1
50 to 64,White,Kasson P-2,Undecided,1
50 to 64,White,Rochester W1 P1,Strong Aleta,1
48 to 64,White,Rochester W1 P1,Lean Aleta,1
49 to 64,White,Rochester W1 P0,Lean Aleta,1
50 to 64,White,Rochester W1 P1,Lean Aleta,1
50 to 64,White,Rochester W1 P1,Undecided,1
50 to 64,White,Rochester W1 P1,Lean Nelson,1
50 to 64,White,Rochester W1 P1,Strong Nelson,1
49 to 64,White,Rochester W1 P9,Strong Aleta,1
50 to 64,White,Rochester W1 P10,Strong Aleta,1
49 to 64,White,Rochester W1 P9,Lean Aleta,1
50 to 64,White,Rochester W1 P10,Lean Aleta,1
48 to 64,White,Rochester W1 P8,Undecided,1
49 to 64,White,Rochester W1 P9,Undecided,1
50 to 64,White,Rochester W1 P10,Undecided,1
50 to 64,White,Rochester W1 P10,Lean Nelson,1
49 to 64,White,Rochester W1 P9,Strong Nelson,1
50 to 64,White,Rochester W1 P10,Strong Nelson,1
50 to 64,White,Rochester W1 P11,Strong Aleta,1
50 to 64,White,Rochester W1 P12,Lean Aleta,1
50 to 64,White,Rochester W1 P12,Undecided,1
49 to 64,White,Rochester W1 P12,Undecided,1
50 to 64,White,Rochester W1 P13,Undecided,1
47 to 64,White,Rochester W1 P1,Strong Aleta,1
48 to 64,White,Rochester W1 P0,Strong Aleta,1
49 to 64,White,Rochester W1 P1,Strong Aleta,1
50 to 64,White,Rochester W1 P2,Strong Aleta,1
50 to 64,White,Rochester W1 P2,Lean Aleta,1
48 to 64,White,Rochester W1 P0,Undecided,1
49 to 64,White,Rochester W1 P1,Undecided,1
50 to 64,White,Rochester W1 P2,Undecided,1
49 to 64,White,Rochester W1 P3,Strong Aleta,1
50 to 64,White,Rochester W1 P4,Strong Aleta,1
50 to 64,White,Rochester W1 P4,Undecided,1
50 to 64,White,Rochester W1 P4,Strong Nelson,1
48 to 64,White,Rochester W1 P4,Strong Aleta,1
49 to 64,White,Rochester W1 P5,Strong Aleta,1
50 to 64,White,Rochester W1 P6,Strong Aleta,1
50 to 64,White,Rochester W1 P6,Lean Aleta,1
48 to 64,White,Rochester W1 P4,Undecided,1
49 to 64,White,Rochester W1 P5,Undecided,1
50 to 64,White,Rochester W1 P6,Undecided,1
50 to 64,White,Rochester W1 P6,Strong Nelson,1
48 to 64,White,Rochester W1 P6,Strong Aleta,1
49 to 64,White,Rochester W1 P7,Strong Aleta,1
50 to 64,White,Rochester W1 P8,Strong Aleta,1
49 to 64,White,Rochester W1 P7,Undecided,1
50 to 64,White,Rochester W1 P8,Undecided,1
49 to 64,White,Rochester W1 P7,Lean Nelson,1
50 to 64,White,Rochester W1 P8,Lean Nelson,1
47 to 64,White,Rochester W1 P6,Strong Aleta,1
48 to 64,White,Rochester W1 P7,Strong Aleta,1
49 to 64,White,Rochester W1 P8,Strong Aleta,1
50 to 64,White,Rochester W1 P9,Strong Aleta,1
48 to 64,White,Rochester W1 P7,Lean Aleta,1
49 to 64,White,Rochester W1 P8,Lean Aleta,1
50 to 64,White,Rochester W1 P9,Lean Aleta,1
50 to 64,White,Rochester W1 P9,Undecided,1
50 to 64,White,Rochester W1 P9,Lean Nelson,1
47 to 64,White,Rochester W2 P2,Undecided,1
48 to 64,White,Rochester W2 P1,Undecided,1
49 to 64,White,Rochester W2 P0,Undecided,1
50 to 64,White,Rochester W2 P1,Undecided,1
49 to 64,White,Rochester W2 P9,Strong Aleta,1
50 to 64,White,Rochester W2 P10,Strong Aleta,1
50 to 64,White,Rochester W2 P10,Lean Aleta,1
47 to 64,White,Rochester W2 P7,Undecided,1
48 to 64,White,Rochester W2 P8,Undecided,1
49 to 64,White,Rochester W2 P9,Undecided,1
50 to 64,White,Rochester W2 P10,Undecided,1
50 to 64,White,Rochester W2 P10,Lean Nelson,1
49 to 64,White,Rochester W2 P9,Strong Nelson,1
50 to 64,White,Rochester W2 P10,Strong Nelson,1
50 to 64,White,Rochester W2 P11,Strong Aleta,1
50 to 64,White,Rochester W2 P11,Lean Aleta,1
50 to 64,White,Rochester W2 P11,Undecided,1
49 to 64,White,Rochester W2 P1,Lean Aleta,1
50 to 64,White,Rochester W2 P2,Lean Aleta,1
50 to 64,White,Rochester W2 P2,Strong Nelson,1
50 to 64,White,Rochester W2 P3,Strong Aleta,1
49 to 64,White,Rochester W2 P2,Lean Aleta,1
50 to 64,White,Rochester W2 P3,Lean Aleta,1
50 to 64,White,Rochester W2 P3,Undecided,1
49 to 64,White,Rochester W2 P3,Strong Aleta,1
50 to 64,White,Rochester W2 P4,Strong Aleta,1
50 to 64,White,Rochester W2 P4,Lean Aleta,1
50 to 64,White,Rochester W2 P5,Undecided,1
50 to 64,White,Rochester W2 P6,Strong Aleta,1
50 to 64,White,Rochester W2 P6,Lean Aleta,1
50 to 64,White,Rochester W2 P6,Undecided,1
48 to 64,White,Rochester W2 P7,Lean Aleta,1
49 to 64,White,Rochester W2 P8,Lean Aleta,1
50 to 64,White,Rochester W2 P9,Lean Aleta,1
47 to 64,White,Rochester W2 P6,Undecided,1
48 to 64,White,Rochester W2 P7,Undecided,1
49 to 64,White,Rochester W2 P8,Undecided,1
50 to 64,White,Rochester W2 P9,Undecided,1
50 to 64,White,Rochester W2 P9,Lean Nelson,1
50 to 64,White,Rochester W2 P9,Strong Nelson,1
50 to 64,White,Rochester W4 P12,Strong Aleta,1
49 to 64,White,Rochester W4 P12,Strong Aleta,1
50 to 64,White,Rochester W4 P13,Strong Aleta,1
49 to 64,White,Rochester W4 P12,Lean Aleta,1
50 to 64,White,Rochester W4 P13,Lean Aleta,1
50 to 64,White,Rochester W4 P8,Lean Nelson,1
50 to 64,White,Rochester W4 P8,Strong Nelson,1
48 to 64,White,Stewartville,Strong Aleta,1
49 to 64,White,Stewartville,Strong Aleta,1
50 to 64,White,Stewartville,Strong Aleta,1
47 to 64,White,Stewartville,Lean Aleta,1
48 to 64,White,Stewartville,Lean Aleta,1
49 to 64,White,Stewartville,Lean Aleta,1
50 to 64,White,Stewartville,Lean Aleta,1
49 to 64,White,Stewartville,Undecided,1
50 to 64,White,Stewartville,Undecided,1
49 to 64,White,Stewartville,Lean Nelson,1
50 to 64,White,Stewartville,Lean Nelson,1
48 to 64,White,Stewartville,Strong Nelson,1
49 to 64,White,Stewartville,Strong Nelson,1
50 to 64,White,Stewartville,Strong Nelson,1
50 to 64,White,Byron,Undecided,1
50 to 64,White,Byron,Strong Nelson,1
50 to 64,White,Hayfield,Strong Aleta,1
50 to 64,White,Kasson P-2,Undecided,1
50 to 64,White,Rochester W1 P10,Strong Aleta,1
50 to 64,White,Rochester W1 P10,Undecided,1
50 to 64,White,Rochester W1 P4,Lean Aleta,1
50 to 64,White,Rochester W1 P8,Strong Aleta,1
50 to 64,White,Rochester W1 P8,Lean Aleta,1
50 to 64,White,Rochester W1 P9,Lean Aleta,1
50 to 64,White,Rochester W1 P9,Undecided,1
50 to 64,White,Rochester W2 P1,Undecided,1
50 to 64,White,Rochester W2 P10,Strong Aleta,1
50 to 64,White,Rochester W2 P11,Strong Aleta,1
50 to 64,White,Rochester W2 P4,Undecided,1
50 to 64,White,Rochester W2 P6,Strong Aleta,1
50 to 64,White,Rochester W2 P9,Strong Aleta,1
50 to 64,White,Rochester W4 P8,Strong Aleta,1
50 to 64,White,Kasson P-2,Undecided,1
50 to 64,White,Rochester W1 P6,Strong Nelson,1
50 to 64,White,Rochester W2 P1,Lean Aleta,1
50 to 64,White,Rochester W4 P10,Strong Aleta,1
50 to 64,White,Rochester W4 P10,Lean Aleta,1
65+,Asian,Rochester W1 P1,Lean Aleta,1
65+,Asian,Rochester W2 P9,Lean Aleta,1
65+,Asian,Rochester W2 P5,Strong Aleta,1
65+,Asian,Rochester W1 P8,Strong Aleta,1
65+,Black,Rochester W4 P11,Strong Aleta,1
65+,Black,Rochester W4 P11,Lean Aleta,1
65+,Hispanic,Byron,Lean Aleta,1
65+,Hispanic,Rochester W1 P8,Strong Aleta,1
65+,White,Byron,Strong Aleta,1
65+,White,Byron,Strong Aleta,1
65+,White,Byron,Strong Aleta,1
65+,White,Byron,Strong Aleta,1
65+,White,Byron,Strong Aleta,1
65+,White,Byron,Strong Aleta,1
65+,White,Byron,Strong Aleta,1
65+,White,Byron,Strong Aleta,1
65+,White,Byron,Lean Aleta,1
65+,White,Byron,Lean Aleta,1
65+,White,Byron,Lean Aleta,1
65+,White,Byron,Lean Aleta,1
65+,White,Byron,Lean Aleta,1
65+,White,Byron,Undecided,1
65+,White,Byron,Undecided,1
65+,White,Byron,Undecided,1
65+,White,Byron,Undecided,1
65+,White,Byron,Undecided,1
65+,White,Byron,Undecided,1
65+,White,Byron,Undecided,1
65+,White,Byron,Undecided,1
65+,White,Byron,Strong Nelson,1
65+,White,Canisteo Twp.,Strong Aleta,1
65+,White,Hayfield,Strong Aleta,1
65+,White,Hayfield,Lean Aleta,1
65+,White,Hayfield,Lean Aleta,1
65+,White,Hayfield,Lean Aleta,1
65+,White,Hayfield,Undecided,1
65+,White,Hayfield,Undecided,1
65+,White,Hayfield,Undecided,1
65+,White,Hayfield,Undecided,1
65+,White,Hayfield,Undecided,1
65+,White,Hayfield,Undecided,1
65+,White,Kasson P-1,Lean Aleta,1
65+,White,Kasson P-2,Strong Aleta,1
65+,White,Kasson P-1,Strong Aleta,1
65+,White,Kasson P-0,Strong Aleta,1
65+,White,Kasson P-1,Strong Aleta,1
65+,White,Kasson P-2,Strong Aleta,1
65+,White,Kasson P-1,Lean Aleta,1
65+,White,Kasson P-0,Lean Aleta,1
65+,White,Kasson P-1,Lean Aleta,1
65+,White,Kasson P-2,Lean Aleta,1
65+,White,Kasson P-2,Undecided,1
65+,White,Kasson P-1,Undecided,1
65+,White,Kasson P-0,Undecided,1
65+,White,Kasson P-1,Undecided,1
65+,White,Kasson P-2,Undecided,1
65+,White,Kasson P-1,Lean Nelson,1
65+,White,Kasson P-2,Lean Nelson,1
65+,White,Kasson P-0,Strong Nelson,1
65+,White,Kasson P-1,Strong Nelson,1
65+,White,Kasson P-2,Strong Nelson,1
65+,White,Rochester W1 P1,Strong Aleta,1
65+,White,Rochester W1 P0,Strong Aleta,1
65+,White,Rochester W1 P1,Strong Aleta,1
65+,White,Rochester W1 P1,Lean Aleta,1
65+,White,Rochester W1 P1,Undecided,1
65+,White,Rochester W1 P0,Undecided,1
65+,White,Rochester W1 P1,Undecided,1
65+,White,Rochester W1 P1,Lean Nelson,1
65+,White,Rochester W1 P9,Strong Aleta,1
65+,White,Rochester W1 P10,Strong Aleta,1
65+,White,Rochester W1 P8,Lean Aleta,1
65+,White,Rochester W1 P9,Lean Aleta,1
65+,White,Rochester W1 P10,Lean Aleta,1
65+,White,Rochester W1 P7,Undecided,1
65+,White,Rochester W1 P8,Undecided,1
65+,White,Rochester W1 P9,Undecided,1
65+,White,Rochester W1 P10,Undecided,1
65+,White,Rochester W1 P11,Undecided,1
65+,White,Rochester W1 P12,Strong Aleta,1
65+,White,Rochester W1 P13,Strong Aleta,1
65+,White,Rochester W1 P11,Undecided,1
65+,White,Rochester W1 P12,Undecided,1
65+,White,Rochester W1 P13,Undecided,1
65+,White,Rochester W1 P2,Strong Aleta,1
65+,White,Rochester W1 P2,Lean Aleta,1
65+,White,Rochester W1 P2,Undecided,1
65+,White,Rochester W1 P2,Strong Nelson,1
65+,White,Rochester W1 P3,Strong Aleta,1
65+,White,Rochester W1 P4,Strong Aleta,1
65+,White,Rochester W1 P4,Undecided,1
65+,White,Rochester W1 P4,Lean Nelson,1
65+,White,Rochester W1 P6,Lean Aleta,1
65+,White,Rochester W1 P6,Strong Nelson,1
65+,White,Rochester W1 P5,Strong Aleta,1
65+,White,Rochester W1 P6,Strong Aleta,1
65+,White,Rochester W1 P7,Strong Aleta,1
65+,White,Rochester W1 P8,Strong Aleta,1
65+,White,Rochester W1 P4,Undecided,1
65+,White,Rochester W1 P5,Undecided,1
65+,White,Rochester W1 P6,Undecided,1
65+,White,Rochester W1 P7,Undecided,1
65+,White,Rochester W1 P8,Undecided,1
65+,White,Rochester W1 P8,Strong Nelson,1
65+,White,Rochester W1 P7,Strong Aleta,1
65+,White,Rochester W1 P8,Strong Aleta,1
65+,White,Rochester W1 P9,Strong Aleta,1
65+,White,Rochester W1 P8,Lean Aleta,1
65+,White,Rochester W1 P9,Lean Aleta,1
65+,White,Rochester W1 P9,Undecided,1
65+,White,Rochester W1 P9,Lean Nelson,1
65+,White,Rochester W1 P9,Strong Nelson,1
65+,White,Rochester W2 P1,Undecided,1
65+,White,Rochester W2 P1,Lean Nelson,1
65+,White,Rochester W2 P1,Strong Nelson,1
65+,White,Rochester W2 P5,Strong Aleta,1
65+,White,Rochester W2 P6,Strong Aleta,1
65+,White,Rochester W2 P7,Strong Aleta,1
65+,White,Rochester W2 P8,Strong Aleta,1
65+,White,Rochester W2 P9,Strong Aleta,1
65+,White,Rochester W2 P10,Strong Aleta,1
65+,White,Rochester W2 P9,Lean Aleta,1
65+,White,Rochester W2 P10,Lean Aleta,1
65+,White,Rochester W2 P8,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P10,Undecided,1
65+,White,Rochester W2 P10,Lean Nelson,1
65+,White,Rochester W2 P10,Strong Aleta,1
65+,White,Rochester W2 P11,Strong Aleta,1
65+,White,Rochester W2 P11,Undecided,1
65+,White,Rochester W2 P11,Lean Nelson,1
65+,White,Rochester W2 P1,Strong Aleta,1
65+,White,Rochester W2 P0,Strong Aleta,1
65+,White,Rochester W2 P1,Strong Aleta,1
65+,White,Rochester W2 P2,Strong Aleta,1
65+,White,Rochester W2 P2,Lean Aleta,1
65+,White,Rochester W2 P2,Lean Nelson,1
65+,White,Rochester W2 P2,Strong Aleta,1
65+,White,Rochester W2 P3,Strong Aleta,1
65+,White,Rochester W2 P4,Strong Aleta,1
65+,White,Rochester W2 P2,Undecided,1
65+,White,Rochester W2 P3,Undecided,1
65+,White,Rochester W2 P4,Undecided,1
65+,White,Rochester W2 P4,Lean Nelson,1
65+,White,Rochester W2 P5,Lean Aleta,1
65+,White,Rochester W2 P5,Undecided,1
65+,White,Rochester W2 P5,Strong Aleta,1
65+,White,Rochester W2 P6,Strong Aleta,1
65+,White,Rochester W2 P5,Lean Aleta,1
65+,White,Rochester W2 P6,Lean Aleta,1
65+,White,Rochester W2 P6,Undecided,1
65+,White,Rochester W2 P6,Strong Nelson,1
65+,White,Rochester W2 P3,Strong Aleta,1
65+,White,Rochester W2 P4,Strong Aleta,1
65+,White,Rochester W2 P5,Strong Aleta,1
65+,White,Rochester W2 P6,Strong Aleta,1
65+,White,Rochester W2 P7,Strong Aleta,1
65+,White,Rochester W2 P8,Strong Aleta,1
65+,White,Rochester W2 P9,Strong Aleta,1
65+,White,Rochester W2 P9,Lean Aleta,1
65+,White,Rochester W2 P9,Lean Aleta,1
65+,White,Rochester W2 P9,Lean Aleta,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W2 P9,Lean Nelson,1
65+,White,Rochester W2 P9,Lean Nelson,1
65+,White,Rochester W4 P10,Strong Aleta,1
65+,White,Rochester W4 P10,Undecided,1
65+,White,Rochester W4 P10,Undecided,1
65+,White,Rochester W4 P11,Strong Aleta,1
65+,White,Rochester W4 P12,Undecided,1
65+,White,Rochester W4 P12,Undecided,1
65+,White,Rochester W4 P13,Strong Aleta,1
65+,White,Rochester W4 P13,Strong Aleta,1
65+,White,Rochester W4 P13,Strong Aleta,1
65+,White,Rochester W4 P13,Lean Aleta,1
65+,White,Rochester W4 P13,Undecided,1
65+,White,Rochester W4 P13,Undecided,1
65+,White,Rochester W4 P13,Undecided,1
65+,White,Rochester W4 P8,Undecided,1
65+,White,Stewartville,Strong Aleta,1
65+,White,Stewartville,Strong Aleta,1
65+,White,Stewartville,Lean Aleta,1
65+,White,Stewartville,Lean Aleta,1
65+,White,Stewartville,Lean Aleta,1
65+,White,Stewartville,Lean Aleta,1
65+,White,Stewartville,Lean Aleta,1
65+,White,Stewartville,Lean Aleta,1
65+,White,Stewartville,Lean Aleta,1
65+,White,Stewartville,Lean Aleta,1
65+,White,Stewartville,Undecided,1
65+,White,Stewartville,Strong Nelson,1
65+,White,Stewartville,Strong Nelson,1
65+,White,Wasioja Twp.,Strong Aleta,1
65+,White,Byron,Strong Aleta,1
65+,White,Byron,Strong Aleta,1
65+,White,Byron,Lean Aleta,1
65+,White,Byron,Undecided,1
65+,White,Kasson P-2,Strong Aleta,1
65+,White,Rochester W1 P1,Strong Nelson,1
65+,White,Rochester W1 P10,Strong Aleta,1
65+,White,Rochester W1 P10,Lean Aleta,1
65+,White,Rochester W1 P11,Undecided,1
65+,White,Rochester W1 P13,Undecided,1
65+,White,Rochester W1 P4,Lean Aleta,1
65+,White,Rochester W1 P8,Undecided,1
65+,White,Rochester W1 P9,Lean Aleta,1
65+,White,Rochester W2 P10,Strong Aleta,1
65+,White,Rochester W2 P10,Lean Aleta,1
65+,White,Rochester W2 P2,Lean Nelson,1
65+,White,Rochester W2 P4,Lean Aleta,1
65+,White,Rochester W2 P9,Strong Aleta,1
65+,White,Rochester W2 P9,Strong Aleta,1
65+,White,Rochester W2 P9,Undecided,1
65+,White,Rochester W4 P11,Strong Aleta,1
65+,White,Kasson P-2,Undecided,1
65+,White,Rochester W1 P9,Lean Nelson,1
65+,White,Rochester W2 P4,Undecided,1
65+,White,Rochester W2 P9,Lean Aleta,1
65+,Unknown,Hayfield,Lean Aleta,1
,,,,
