Age,Likely Ethnicity,Precinct,Borrud - SD24: Responses,Total People
24 to 34,White,Rochester W1 P9,Lean Aleta,1
25 to 34,White,Rochester W1 P10,Lean Aleta,1
23 to 34,White,Rochester W1 P8,Undecided,1
24 to 34,White,Rochester W1 P9,Undecided,1
25 to 34,White,Rochester W1 P10,Undecided,1
25 to 34,White,Rochester W1 P10,Lean Nelson,1
25 to 34,White,Rochester W1 P10,Strong Nelson,1
25 to 34,White,Rochester W1 P11,Strong Aleta,1
24 to 34,White,Rochester W1 P11,Undecided,1
25 to 34,White,Rochester W1 P12,Undecided,1
25 to 34,White,Rochester W1 P2,Strong Aleta,1
25 to 34,White,Rochester W1 P4,Strong Aleta,1
24 to 34,White,Rochester W1 P3,Undecided,1
25 to 34,White,Rochester W1 P4,Undecided,1
24 to 34,White,Rochester W1 P7,Strong Aleta,1
25 to 34,White,Rochester W1 P8,Strong Aleta,1
25 to 34,White,Rochester W1 P8,Lean Aleta,1
21 to 34,White,Rochester W1 P4,Undecided,1
22 to 34,White,Rochester W1 P5,Undecided,1
23 to 34,White,Rochester W1 P6,Undecided,1
24 to 34,White,Rochester W1 P7,Undecided,1
25 to 34,White,Rochester W1 P8,Undecided,1
25 to 34,White,Rochester W2 P1,Undecided,1
25 to 34,White,Rochester W2 P11,Strong Aleta,1
24 to 34,White,Rochester W2 P2,Strong Aleta,1
25 to 34,White,Rochester W2 P3,Strong Aleta,1
25 to 34,White,Rochester W2 P3,Undecided,1
24 to 34,White,Rochester W2 P3,Strong Aleta,1
25 to 34,White,Rochester W2 P4,Strong Aleta,1
25 to 34,White,Rochester W2 P4,Undecided,1
25 to 34,White,Rochester W2 P5,Lean Aleta,1
25 to 34,White,Rochester W2 P5,Undecided,1
24 to 34,White,Rochester W2 P5,Strong Aleta,1
25 to 34,White,Rochester W2 P6,Strong Aleta,1
24 to 34,White,Rochester W2 P5,Lean Aleta,1
25 to 34,White,Rochester W2 P6,Lean Aleta,1
20 to 34,White,Rochester W2 P1,Undecided,1
21 to 34,White,Rochester W2 P2,Undecided,1
22 to 34,White,Rochester W2 P3,Undecided,1
23 to 34,White,Rochester W2 P4,Undecided,1
