Age,Gender,Race,Precinct,Total Registered: 2022
50 to 64,Female,White,Rochester W1 P10,2
50 to 64,Female,White,Rochester W1 P11,2
50 to 64,Female,White,Rochester W1 P12,2
50 to 64,Female,White,Rochester W1 P13,6
50 to 64,Female,White,Rochester W1 P14,2
50 to 64,Female,White,Rochester W1 P2,5
50 to 64,Female,White,Rochester W1 P4,6
50 to 64,Female,White,Rochester W1 P5,2
50 to 64,Female,White,Rochester W1 P6,7
50 to 64,Female,White,Rochester W1 P7,7
50 to 64,Female,White,Rochester W1 P8,3
50 to 64,Female,White,Rochester W1 P9,2
50 to 64,Female,White,Rochester W2 P1,4
50 to 64,Female,White,Rochester W2 P10,6
50 to 64,Female,White,Rochester W2 P11,5
50 to 64,Female,White,Rochester W2 P2,4
50 to 64,Female,White,Rochester W2 P3,2
50 to 64,Female,White,Rochester W2 P4,4
50 to 64,Female,White,Rochester W2 P5,5
50 to 64,Female,White,Rochester W2 P6,1
50 to 64,Female,White,Rochester W4 P10,4
50 to 64,Female,White,Rochester W4 P11,6
50 to 64,Female,White,Rochester W4 P12,6
50 to 64,Female,White,Rochester W4 P13,3
50 to 64,Female,White,Rochester W4 P8,4
50 to 64,Female,White,Rochester W4 P9,2
50 to 64,Female,White,Rochester W5 P14,2
50 to 64,Female,White,Rock Dell Twp.,1
50 to 64,Female,White,Salem Twp.,1
50 to 64,Female,White,Stewartville,11
50 to 64,Female,White,Wasioja Twp.,1
50 to 64,Female,Unknown,Rochester W1 P10,1
50 to 64,Female,Unknown,Rochester W2 P3,1
50 to 64,Female,Unknown,Rochester W2 P6,1
50 to 64,Female,Unknown,Rochester W4 P12,2
50 to 64,Female,Unknown,Rochester W5 P14,1
50 to 64,Female,Unknown,Stewartville,3
50 to 64,Unknown,Asian,Byron,2
50 to 64,Unknown,Asian,Rochester Twp P-1,4
50 to 64,Unknown,Asian,Rochester W1 P1,5
50 to 64,Unknown,Asian,Rochester W1 P10,1
50 to 64,Unknown,Asian,Rochester W1 P11,2
50 to 64,Unknown,Asian,Rochester W1 P13,7
50 to 64,Unknown,Asian,Rochester W1 P14,1
50 to 64,Unknown,Asian,Rochester W1 P2,1
50 to 64,Unknown,Asian,Rochester W1 P4,1
50 to 64,Unknown,Asian,Rochester W1 P5,2
50 to 64,Unknown,Asian,Rochester W1 P6,2
50 to 64,Unknown,Asian,Rochester W1 P7,11
50 to 64,Unknown,Asian,Rochester W2 P1,2
50 to 64,Unknown,Asian,Rochester W2 P10,4
50 to 64,Unknown,Asian,Rochester W2 P11,2
50 to 64,Unknown,Asian,Rochester W2 P3,1
50 to 64,Unknown,Asian,Rochester W2 P4,1
50 to 64,Unknown,Asian,Rochester W2 P5,1
50 to 64,Unknown,Asian,Rochester W4 P11,1
50 to 64,Unknown,Asian,Rochester W4 P8,1
50 to 64,Unknown,Asian,Rochester W5 P14,1
50 to 64,Unknown,Asian,Canisteo Twp.,2
50 to 64,Unknown,Asian,Rochester Twp P-1,1
50 to 64,Unknown,Asian,Rochester W1 P1,1
50 to 64,Unknown,Asian,Rochester W1 P10,1
50 to 64,Unknown,Asian,Rochester W1 P11,1
50 to 64,Unknown,Asian,Rochester W1 P12,1
50 to 64,Unknown,Asian,Rochester W1 P13,3
50 to 64,Unknown,Asian,Rochester W1 P2,2
50 to 64,Unknown,Asian,Rochester W1 P4,1
50 to 64,Unknown,Asian,Rochester W1 P5,1
50 to 64,Unknown,Asian,Rochester W1 P6,4
50 to 64,Unknown,Asian,Rochester W1 P7,9
50 to 64,Unknown,Asian,Rochester W1 P9,1
50 to 64,Unknown,Asian,Rochester W2 P1,6
50 to 64,Unknown,Asian,Rochester W2 P11,3
50 to 64,Unknown,Asian,Rochester W2 P2,1
50 to 64,Unknown,Asian,Rochester W2 P5,4
50 to 64,Unknown,Asian,Rochester W2 P6,2
50 to 64,Unknown,Asian,Rochester W2 P9,1
50 to 64,Unknown,Asian,Rochester W4 P10,3
50 to 64,Unknown,Asian,Rochester W4 P12,1
50 to 64,Unknown,Asian,Rochester W4 P13,1
50 to 64,Unknown,Asian,Rochester W4 P8,4
50 to 64,Unknown,Asian,Rochester W1 P10,1
50 to 64,Unknown,Asian,Rochester W1 P12,1
50 to 64,Unknown,Asian,Rochester W1 P8,1
50 to 64,Unknown,Asian,Rochester W2 P1,2
50 to 64,Unknown,Asian,Rochester W2 P10,3
50 to 64,Unknown,Asian,Rochester W2 P3,1
50 to 64,Unknown,Asian,Rochester W2 P5,1
50 to 64,Unknown,Asian,Rochester W4 P11,1
50 to 64,Unknown,Asian,Rochester W4 P8,1
50 to 64,Unknown,Black,Rochester W1 P10,1
50 to 64,Unknown,Black,Rochester W2 P1,2
50 to 64,Unknown,Black,Rochester W4 P10,1
50 to 64,Unknown,Black,Rochester W4 P11,1
50 to 64,Unknown,Black,Rochester W4 P8,1
50 to 64,Unknown,Black,Rochester W4 P9,4
50 to 64,Unknown,Black,Rochester W5 P14,2
50 to 64,Unknown,Black,Rochester W1 P11,1
50 to 64,Unknown,Black,Rochester W1 P4,1
50 to 64,Unknown,Black,Rochester W1 P5,1
50 to 64,Unknown,Black,Rochester W1 P8,1
50 to 64,Unknown,Black,Rochester W2 P1,2
50 to 64,Unknown,Black,Rochester W2 P10,1
50 to 64,Unknown,Black,Rochester W2 P2,3
50 to 64,Unknown,Black,Rochester W2 P3,1
50 to 64,Unknown,Black,Rochester W2 P5,1
50 to 64,Unknown,Black,Rochester W2 P6,2
50 to 64,Unknown,Black,Rochester W4 P10,3
50 to 64,Unknown,Black,Rochester W4 P11,1
50 to 64,Unknown,Black,Rochester W4 P12,1
50 to 64,Unknown,Black,Rochester W4 P8,5
50 to 64,Unknown,Black,Rochester W4 P9,4
50 to 64,Unknown,Black,Rochester W5 P14,1
50 to 64,Unknown,Black,Rochester W1 P10,1
50 to 64,Unknown,Black,Rochester W1 P12,1
50 to 64,Unknown,Black,Rochester W2 P2,2
50 to 64,Unknown,Black,Rochester W2 P3,1
50 to 64,Unknown,Black,Rochester W2 P6,1
50 to 64,Unknown,Black,Rochester W2 P9,1
50 to 64,Unknown,Black,Rochester W4 P10,1
50 to 64,Unknown,Black,Rochester W4 P11,1
50 to 64,Unknown,Black,Rochester W4 P8,3
50 to 64,Unknown,Black,Rochester W4 P9,6
50 to 64,Unknown,Hispanic,Kasson P-3,1
50 to 64,Unknown,Hispanic,Rochester W2 P2,1
50 to 64,Unknown,Hispanic,Rochester W4 P9,1
50 to 64,Unknown,Hispanic,Rochester W1 P4,1
50 to 64,Unknown,White,Byron,4
50 to 64,Unknown,White,Canisteo Twp.,2
50 to 64,Unknown,White,Dodge Center P-1,2
50 to 64,Unknown,White,Dodge Center P-2,1
50 to 64,Unknown,White,Hayfield,3
50 to 64,Unknown,White,Kasson P-2,2
50 to 64,Unknown,White,Kasson P-3,2
50 to 64,Unknown,White,Mantorville Twp.,1
50 to 64,Unknown,White,Milton Twp.,1
50 to 64,Unknown,White,Rochester Twp P-1,2
50 to 64,Unknown,White,Rochester Twp P-2,1
50 to 64,Unknown,White,Rochester W1 P1,1
50 to 64,Unknown,White,Rochester W1 P10,1
50 to 64,Unknown,White,Rochester W1 P11,1
50 to 64,Unknown,White,Rochester W1 P12,3
50 to 64,Unknown,White,Rochester W1 P13,3
50 to 64,Unknown,White,Rochester W1 P2,2
50 to 64,Unknown,White,Rochester W1 P4,1
50 to 64,Unknown,White,Rochester W1 P5,1
50 to 64,Unknown,White,Rochester W1 P6,2
50 to 64,Unknown,White,Rochester W1 P7,2
50 to 64,Unknown,White,Rochester W1 P8,3
50 to 64,Unknown,White,Rochester W2 P1,2
50 to 64,Unknown,White,Rochester W2 P10,3
50 to 64,Unknown,White,Rochester W2 P11,1
50 to 64,Unknown,White,Rochester W2 P3,1
50 to 64,Unknown,White,Rochester W2 P4,5
50 to 64,Unknown,White,Rochester W2 P6,1
50 to 64,Unknown,White,Rochester W2 P9,1
50 to 64,Unknown,White,Rochester W4 P13,1
50 to 64,Unknown,White,Rochester W5 P14,2
50 to 64,Unknown,White,Salem Twp.,2
50 to 64,Unknown,White,Stewartville,6
50 to 64,Unknown,White,Byron,2
50 to 64,Unknown,White,Claremont Twp.,1
50 to 64,Unknown,White,Concord Twp.,1
50 to 64,Unknown,White,Dodge Center P-1,3
50 to 64,Unknown,White,Dodge Center P-2,1
50 to 64,Unknown,White,Hayfield,1
50 to 64,Unknown,White,Kalmar Twp.,1
50 to 64,Unknown,White,Kasson P-2,2
50 to 64,Unknown,White,Rochester W1 P1,2
50 to 64,Unknown,White,Rochester W1 P10,2
50 to 64,Unknown,White,Rochester W1 P11,1
50 to 64,Unknown,White,Rochester W1 P12,2
50 to 64,Unknown,White,Rochester W1 P13,1
50 to 64,Unknown,White,Rochester W1 P2,4
50 to 64,Unknown,White,Rochester W1 P6,1
50 to 64,Unknown,White,Rochester W1 P7,4
50 to 64,Unknown,White,Rochester W1 P8,2
50 to 64,Unknown,White,Rochester W1 P9,1
50 to 64,Unknown,White,Rochester W2 P10,4
50 to 64,Unknown,White,Rochester W2 P11,1
50 to 64,Unknown,White,Rochester W2 P2,3
50 to 64,Unknown,White,Rochester W2 P3,2
50 to 64,Unknown,White,Rochester W2 P4,2
50 to 64,Unknown,White,Rochester W2 P5,1
50 to 64,Unknown,White,Rochester W2 P6,1
50 to 64,Unknown,White,Rochester W4 P10,2
50 to 64,Unknown,White,Rochester W4 P12,2
50 to 64,Unknown,White,Rochester W4 P13,2
50 to 64,Unknown,White,Rochester W4 P8,1
50 to 64,Unknown,White,Rochester W4 P9,1
50 to 64,Unknown,White,Rock Dell Twp.,1
50 to 64,Unknown,White,Stewartville,4
50 to 64,Unknown,White,Wasioja Twp.,2
50 to 64,Unknown,White,Byron,1
50 to 64,Unknown,White,Kalmar Twp.,1
50 to 64,Unknown,White,Rochester Twp P-1,3
50 to 64,Unknown,White,Rochester W1 P6,1
50 to 64,Unknown,White,Rochester W1 P8,1
50 to 64,Unknown,White,Rochester W2 P1,1
50 to 64,Unknown,White,Rochester W2 P10,1
50 to 64,Unknown,White,Rochester W2 P11,1
50 to 64,Unknown,White,Rochester W2 P6,1
50 to 64,Unknown,White,Rochester W2 P9,1
50 to 64,Unknown,White,Rochester W4 P11,1
50 to 64,Unknown,White,Rochester W4 P12,1
50 to 64,Unknown,Unknown,High Forest Twp.,1
50 to 64,Unknown,Unknown,Rochester W1 P13,2
50 to 64,Unknown,Unknown,Rochester W2 P1,1
50 to 64,Unknown,Unknown,Rochester W2 P10,1
50 to 64,Unknown,Unknown,Rochester W2 P5,1
50 to 64,Unknown,Unknown,Stewartville,1
65+,Male,Asian,Byron,2
65+,Male,Asian,Rochester Twp P-1,6
65+,Male,Asian,Rochester W1 P1,3
65+,Male,Asian,Rochester W1 P11,2
65+,Male,Asian,Rochester W1 P13,2
65+,Male,Asian,Rochester W1 P14,1
65+,Male,Asian,Rochester W1 P2,3
65+,Male,Asian,Rochester W1 P4,2
65+,Male,Asian,Rochester W1 P6,1
65+,Male,Asian,Rochester W1 P7,2
65+,Male,Asian,Rochester W2 P1,1
65+,Male,Asian,Rochester W2 P10,4
65+,Male,Asian,Rochester W2 P11,6
65+,Male,Asian,Rochester W2 P2,2
65+,Male,Asian,Rochester W2 P3,2
65+,Male,Asian,Rochester W2 P4,1
65+,Male,Asian,Rochester W2 P9,2
65+,Male,Asian,Rochester W4 P8,3
65+,Male,Asian,Rochester W4 P9,1
65+,Male,Asian,Byron,1
65+,Male,Asian,Rochester W1 P1,2
65+,Male,Asian,Rochester W1 P11,1
65+,Male,Asian,Rochester W1 P2,3
65+,Male,Asian,Rochester W1 P7,1
65+,Male,Asian,Rochester W2 P10,2
65+,Male,Asian,Rochester W2 P5,1
65+,Male,Asian,Rochester W2 P6,1
65+,Male,Asian,Rochester W4 P10,1
65+,Male,Asian,Rochester W4 P11,1
65+,Male,Asian,Rochester W4 P12,1
65+,Male,Asian,Rochester W4 P9,1
65+,Male,Asian,Rochester Twp P-1,1
65+,Male,Asian,Rochester W1 P4,1
65+,Male,Asian,Rochester W1 P6,1
65+,Male,Asian,Rochester W2 P1,1
65+,Male,Asian,Rochester W2 P2,1
65+,Male,Asian,Rochester W2 P4,1
65+,Male,Asian,Rochester W2 P9,1
65+,Male,Asian,Rochester W4 P10,1
65+,Male,Asian,Rochester W4 P11,1
65+,Male,Asian,Rochester W4 P12,1
65+,Male,Asian,Rochester W4 P9,2
65+,Male,Black,Rochester W1 P13,1
65+,Male,Black,Rochester W1 P7,1
65+,Male,Black,Rochester W2 P1,1
65+,Male,Black,Rochester W4 P10,1
65+,Male,Black,Rochester W4 P8,2
65+,Male,Black,Rochester W4 P9,2
65+,Male,Black,Rochester W1 P10,1
65+,Male,Black,Rochester W2 P1,3
65+,Male,Black,Rochester W2 P2,1
65+,Male,Black,Rochester W4 P10,4
65+,Male,Black,Rochester W4 P11,1
65+,Male,Black,Rochester W4 P8,2
65+,Male,Black,Rochester W4 P9,2
65+,Male,Black,Rochester W1 P14,1
65+,Male,Black,Rochester W2 P2,1
65+,Male,Black,Rochester W4 P10,3
65+,Male,Black,Rochester W4 P11,3
65+,Male,Black,Rochester W4 P12,1
65+,Male,Black,Rochester W4 P9,1
65+,Male,Hispanic,Byron,1
65+,Male,Hispanic,Rochester W1 P11,1
65+,Male,Hispanic,Rochester W4 P9,1
65+,Male,Hispanic,Byron,3
65+,Male,Hispanic,Kasson P-3,1
65+,Male,Hispanic,Mantorville,1
65+,Male,Hispanic,Rochester W1 P1,1
65+,Male,Hispanic,Rochester W1 P13,1
65+,Male,Hispanic,Rochester W1 P2,3
65+,Male,Hispanic,Rochester W1 P4,1
65+,Male,Hispanic,Rochester W1 P6,1
65+,Male,Hispanic,Rochester W1 P8,1
65+,Male,Hispanic,Rochester W2 P10,1
65+,Male,Hispanic,Rochester W2 P2,1
65+,Male,Hispanic,Rochester W2 P4,1
65+,Male,Hispanic,Rochester W2 P6,1
65+,Male,Hispanic,Rochester W4 P13,1
65+,Male,Hispanic,Canisteo Twp.,1
65+,Male,Hispanic,Rochester Twp P-1,1
65+,Male,Hispanic,Rochester W1 P11,1
65+,Male,Hispanic,Rochester W1 P12,2
65+,Male,Hispanic,Rochester W1 P2,1
65+,Male,Hispanic,Rochester W1 P4,1
65+,Male,Hispanic,Rochester W1 P7,1
65+,Male,Hispanic,Rochester W2 P4,1
65+,Male,Hispanic,Rochester W4 P8,1
65+,Male,Hispanic,Rochester W5 P14,1
65+,Male,White,Ashland Twp.,42
65+,Male,White,Byron,286
65+,Male,White,Canisteo Twp.,68
65+,Male,White,Cascade Twp. P-3,45
65+,Male,White,Claremont,22
65+,Male,White,Claremont Twp.,39
65+,Male,White,Concord Twp.,47
65+,Male,White,Dodge Center P-1,101
65+,Male,White,Dodge Center P-2,39
65+,Male,White,Ellington Twp.,21
65+,Male,White,Hayfield,99
65+,Male,White,Hayfield Twp.,36
65+,Male,White,High Forest Twp.,101
65+,Male,White,Kalmar Twp.,110
65+,Male,White,Kasson P-1,20
65+,Male,White,Kasson P-2,240
65+,Male,White,Kasson P-3,74
65+,Male,White,Mantorville,77
65+,Male,White,Mantorville Twp.,145
65+,Male,White,Milton Twp.,72
65+,Male,White,Ripley Twp.,14
65+,Male,White,Rochester Twp P-1,140
65+,Male,White,Rochester Twp P-2,43
65+,Male,White,Rochester Twp P-3,8
65+,Male,White,Rochester W1 P1,192
65+,Male,White,Rochester W1 P10,68
65+,Male,White,Rochester W1 P11,139
65+,Male,White,Rochester W1 P12,70
65+,Male,White,Rochester W1 P13,109
65+,Male,White,Rochester W1 P14,19
65+,Male,White,Rochester W1 P2,170
65+,Male,White,Rochester W1 P4,155
65+,Male,White,Rochester W1 P5,110
65+,Male,White,Rochester W1 P6,91
65+,Male,White,Rochester W1 P7,83
65+,Male,White,Rochester W1 P8,149
65+,Male,White,Rochester W1 P9,57
65+,Male,White,Rochester W2 P1,55
65+,Male,White,Rochester W2 P10,179
65+,Male,White,Rochester W2 P11,151
65+,Male,White,Rochester W2 P2,82
65+,Male,White,Rochester W2 P3,45
65+,Male,White,Rochester W2 P4,109
65+,Male,White,Rochester W2 P5,62
65+,Male,White,Rochester W2 P6,102
65+,Male,White,Rochester W2 P9,133
65+,Male,White,Rochester W4 P10,46
65+,Male,White,Rochester W4 P11,30
65+,Male,White,Rochester W4 P12,70
65+,Male,White,Rochester W4 P13,86
65+,Male,White,Rochester W4 P8,59
65+,Male,White,Rochester W4 P9,13
65+,Male,White,Rochester W5 P14,35
65+,Male,White,Rock Dell Twp.,69
65+,Male,White,Salem Twp.,129
65+,Male,White,Stewartville,350
65+,Male,White,Vernon Twp.,49
65+,Male,White,Wasioja Twp.,66
65+,Male,White,West Concord,51
65+,Male,White,Westfield Twp.,31
65+,Male,White,Ashland Twp.,2
65+,Male,White,Byron,23
65+,Male,White,Canisteo Twp.,1
65+,Male,White,Cascade Twp. P-3,1
65+,Male,White,Claremont,2
65+,Male,White,Claremont Twp.,2
65+,Male,White,Concord Twp.,2
65+,Male,White,Dodge Center P-1,8
65+,Male,White,Dodge Center P-2,1
65+,Male,White,Hayfield,8
65+,Male,White,Hayfield Twp.,1
65+,Male,White,High Forest Twp.,4
65+,Male,White,Kalmar Twp.,6
65+,Male,White,Kasson P-1,1
65+,Male,White,Kasson P-2,6
65+,Male,White,Kasson P-3,7
65+,Male,White,Mantorville,1
65+,Male,White,Mantorville Twp.,1
65+,Male,White,Milton Twp.,4
65+,Male,White,Ripley Twp.,2
65+,Male,White,Rochester Twp P-1,4
65+,Male,White,Rochester Twp P-2,4
65+,Male,White,Rochester W1 P1,15
65+,Male,White,Rochester W1 P10,6
65+,Male,White,Rochester W1 P11,6
65+,Male,White,Rochester W1 P12,4
65+,Male,White,Rochester W1 P13,3
65+,Male,White,Rochester W1 P14,1
65+,Male,White,Rochester W1 P2,5
65+,Male,White,Rochester W1 P4,7
65+,Male,White,Rochester W1 P5,10
65+,Male,White,Rochester W1 P6,5
65+,Male,White,Rochester W1 P8,6
65+,Male,White,Rochester W1 P9,3
65+,Male,White,Rochester W2 P1,7
65+,Male,White,Rochester W2 P10,7
65+,Male,White,Rochester W2 P11,5
65+,Male,White,Rochester W2 P2,1
65+,Male,White,Rochester W2 P3,2
65+,Male,White,Rochester W2 P4,8
65+,Male,White,Rochester W2 P5,4
65+,Male,White,Rochester W2 P6,3
65+,Male,White,Rochester W2 P9,4
65+,Male,White,Rochester W4 P10,5
65+,Male,White,Rochester W4 P11,2
65+,Male,White,Rochester W4 P12,9
65+,Male,White,Rochester W4 P13,5
65+,Male,White,Rochester W4 P8,2
65+,Male,White,Rochester W4 P9,3
65+,Male,White,Rochester W5 P14,2
65+,Male,White,Rock Dell Twp.,2
65+,Male,White,Salem Twp.,3
65+,Male,White,Stewartville,15
65+,Male,White,Vernon Twp.,1
65+,Male,White,Wasioja Twp.,5
65+,Male,White,West Concord,2
65+,Male,White,Concord Twp.,1
65+,Male,White,Dodge Center P-1,1
65+,Male,White,Dodge Center P-2,1
65+,Male,White,High Forest Twp.,1
65+,Male,White,Kalmar Twp.,1
65+,Male,White,Kasson P-2,2
65+,Male,White,Rochester Twp P-1,2
65+,Male,White,Rochester W1 P1,3
65+,Male,White,Rochester W1 P13,1
65+,Male,White,Rochester W1 P14,1
65+,Male,White,Rochester W1 P2,1
65+,Male,White,Rochester W1 P4,3
65+,Male,White,Rochester W1 P5,4
65+,Male,White,Rochester W1 P6,1
65+,Male,White,Rochester W1 P7,1
65+,Male,White,Rochester W1 P8,1
65+,Male,White,Rochester W1 P9,2
65+,Male,White,Rochester W2 P1,4
65+,Male,White,Rochester W2 P10,3
65+,Male,White,Rochester W2 P11,5
65+,Male,White,Rochester W2 P2,1
65+,Male,White,Rochester W2 P4,1
65+,Male,White,Rochester W2 P5,3
65+,Male,White,Rochester W2 P6,2
65+,Male,White,Rochester W4 P11,2
65+,Male,White,Rochester W4 P12,1
65+,Male,White,Rochester W4 P13,2
65+,Male,White,Rochester W4 P8,5
65+,Male,White,Rochester W5 P14,1
65+,Male,White,Rock Dell Twp.,1
65+,Male,White,Stewartville,4
65+,Male,White,Wasioja Twp.,3
65+,Male,White,Westfield Twp.,1
65+,Male,Unknown,Byron,1
65+,Male,Unknown,Hayfield,2
65+,Male,Unknown,Kasson P-2,1
65+,Male,Unknown,Mantorville,1
65+,Male,Unknown,Rochester W1 P10,1
65+,Male,Unknown,Rochester W1 P13,1
65+,Male,Unknown,Rochester W1 P6,1
65+,Male,Unknown,Rochester W1 P9,1
65+,Male,Unknown,Rochester W2 P10,1
65+,Male,Unknown,Rochester W2 P4,1
65+,Male,Unknown,Rochester W4 P10,1
65+,Male,Unknown,Stewartville,1
65+,Female,Asian,Ashland Twp.,1
65+,Female,Asian,High Forest Twp.,1
65+,Female,Asian,Rochester Twp P-1,4
65+,Female,Asian,Rochester W1 P1,3
65+,Female,Asian,Rochester W1 P12,1
65+,Female,Asian,Rochester W1 P13,3
65+,Female,Asian,Rochester W1 P2,3
65+,Female,Asian,Rochester W1 P4,1
65+,Female,Asian,Rochester W1 P7,6
65+,Female,Asian,Rochester W1 P8,1
65+,Female,Asian,Rochester W2 P1,1
65+,Female,Asian,Rochester W2 P10,3
65+,Female,Asian,Rochester W2 P11,4
65+,Female,Asian,Rochester W2 P2,2
65+,Female,Asian,Rochester W2 P9,2
65+,Female,Asian,Rochester W4 P11,2
65+,Female,Asian,Rochester W4 P8,1
65+,Female,Asian,Hayfield,1
65+,Female,Asian,Milton Twp.,1
65+,Female,Asian,Rochester Twp P-1,3
65+,Female,Asian,Rochester W1 P1,1
65+,Female,Asian,Rochester W1 P11,2
65+,Female,Asian,Rochester W1 P2,1
65+,Female,Asian,Rochester W1 P5,1
65+,Female,Asian,Rochester W1 P7,3
65+,Female,Asian,Rochester W1 P8,2
65+,Female,Asian,Rochester W1 P9,1
65+,Female,Asian,Rochester W2 P1,3
65+,Female,Asian,Rochester W2 P10,1
65+,Female,Asian,Rochester W2 P11,2
65+,Female,Asian,Rochester W2 P2,1
65+,Female,Asian,Rochester W2 P4,1
65+,Female,Asian,Rochester W2 P6,1
65+,Female,Asian,Rochester W4 P11,1
65+,Female,Asian,Rochester W4 P9,2
65+,Female,Asian,Stewartville,1
65+,Female,Asian,Cascade Twp. P-3,1
65+,Female,Asian,Rochester W1 P8,1
65+,Female,Asian,Rochester W2 P4,2
65+,Female,Asian,Rochester W2 P6,1
65+,Female,Asian,Rochester W2 P9,1
65+,Female,Asian,Rochester W4 P12,1
65+,Female,Asian,Rochester W4 P9,1
65+,Female,Asian,Rochester W5 P14,1
65+,Female,Black,Rochester W2 P10,1
65+,Female,Black,Rochester W2 P6,1
65+,Female,Black,Rochester W4 P10,3
65+,Female,Black,Rochester W4 P9,7
65+,Female,Black,Rochester W1 P12,1
65+,Female,Black,Rochester W1 P4,1
65+,Female,Black,Rochester W1 P5,1
65+,Female,Black,Rochester W1 P9,1
65+,Female,Black,Rochester W2 P10,1
65+,Female,Black,Rochester W2 P11,1
65+,Female,Black,Rochester W2 P2,1
65+,Female,Black,Rochester W2 P3,1
65+,Female,Black,Rochester W2 P6,2
65+,Female,Black,Rochester W4 P10,1
65+,Female,Black,Rochester W4 P11,5
65+,Female,Black,Rochester W4 P9,4
65+,Female,Black,Rochester W2 P1,2
65+,Female,Black,Rochester W2 P11,1
65+,Female,Black,Rochester W4 P11,1
65+,Female,Black,Rochester W4 P9,2
65+,Female,Hispanic,Byron,2
65+,Female,Hispanic,Dodge Center P-1,2
65+,Female,Hispanic,Kasson P-3,1
65+,Female,Hispanic,Rochester Twp P-1,1
65+,Female,Hispanic,Rochester W1 P10,1
65+,Female,Hispanic,Rochester W1 P12,2
65+,Female,Hispanic,Rochester W1 P7,1
65+,Female,Hispanic,Rochester W1 P8,2
65+,Female,Hispanic,Rochester W2 P4,3
65+,Female,Hispanic,Rochester W2 P6,1
65+,Female,Hispanic,Rochester W4 P10,1
65+,Female,Hispanic,Rochester W4 P11,1
65+,Female,Hispanic,Rochester W4 P8,1
65+,Female,Hispanic,Rochester W4 P9,3
65+,Female,Hispanic,Byron,1
65+,Female,Hispanic,Rochester W4 P12,1
65+,Female,White,Ashland Twp.,33
65+,Female,White,Byron,380
65+,Female,White,Canisteo Twp.,62
65+,Female,White,Cascade Twp. P-3,46
65+,Female,White,Claremont,19
65+,Female,White,Claremont Twp.,38
65+,Female,White,Concord Twp.,53
65+,Female,White,Dodge Center P-1,112
65+,Female,White,Dodge Center P-2,48
65+,Female,White,Ellington Twp.,23
65+,Female,White,Hayfield,130
65+,Female,White,Hayfield Twp.,26
65+,Female,White,High Forest Twp.,103
65+,Female,White,Kalmar Twp.,111
65+,Female,White,Kasson P-1,13
65+,Female,White,Kasson P-2,330
65+,Female,White,Kasson P-3,100
65+,Female,White,Mantorville,83
65+,Female,White,Mantorville Twp.,129
65+,Female,White,Milton Twp.,69
65+,Female,White,Ripley Twp.,8
65+,Female,White,Rochester Twp P-1,120
65+,Female,White,Rochester Twp P-2,34
65+,Female,White,Rochester Twp P-3,6
65+,Female,White,Rochester W1 P1,260
65+,Female,White,Rochester W1 P10,71
65+,Female,White,Rochester W1 P11,176
65+,Female,White,Rochester W1 P12,76
65+,Female,White,Rochester W1 P13,131
65+,Female,White,Rochester W1 P14,30
65+,Female,White,Rochester W1 P2,206
65+,Female,White,Rochester W1 P4,174
65+,Female,White,Rochester W1 P5,160
65+,Female,White,Rochester W1 P6,88
65+,Female,White,Rochester W1 P7,85
65+,Female,White,Rochester W1 P8,157
65+,Female,White,Rochester W1 P9,44
65+,Female,White,Rochester W2 P1,69
65+,Female,White,Rochester W2 P10,229
65+,Female,White,Rochester W2 P11,169
65+,Female,White,Rochester W2 P2,115
65+,Female,White,Rochester W2 P3,46
65+,Female,White,Rochester W2 P4,138
65+,Female,White,Rochester W2 P5,59
65+,Female,White,Rochester W2 P6,192
65+,Female,White,Rochester W2 P9,179
65+,Female,White,Rochester W4 P10,71
65+,Female,White,Rochester W4 P11,33
65+,Female,White,Rochester W4 P12,70
65+,Female,White,Rochester W4 P13,131
65+,Female,White,Rochester W4 P8,86
65+,Female,White,Rochester W4 P9,21
65+,Female,White,Rochester W5 P14,40
65+,Female,White,Rock Dell Twp.,60
65+,Female,White,Salem Twp.,110
65+,Female,White,Stewartville,476
65+,Female,White,Vernon Twp.,62
65+,Female,White,Wasioja Twp.,70
65+,Female,White,West Concord,60
65+,Female,White,Westfield Twp.,34
65+,Female,White,Byron,25
65+,Female,White,Canisteo Twp.,2
65+,Female,White,Claremont,3
65+,Female,White,Claremont Twp.,1
65+,Female,White,Concord Twp.,1
65+,Female,White,Dodge Center P-1,6
65+,Female,White,Dodge Center P-2,3
65+,Female,White,Hayfield,6
65+,Female,White,High Forest Twp.,4
65+,Female,White,Kalmar Twp.,6
65+,Female,White,Kasson P-2,13
65+,Female,White,Kasson P-3,11
65+,Female,White,Mantorville,6
65+,Female,White,Mantorville Twp.,5
65+,Female,White,Milton Twp.,2
65+,Female,White,Rochester Twp P-1,8
65+,Female,White,Rochester W1 P1,12
65+,Female,White,Rochester W1 P10,12
65+,Female,White,Rochester W1 P11,5
65+,Female,White,Rochester W1 P12,5
65+,Female,White,Rochester W1 P13,5
65+,Female,White,Rochester W1 P2,9
65+,Female,White,Rochester W1 P4,11
65+,Female,White,Rochester W1 P5,16
65+,Female,White,Rochester W1 P6,4
65+,Female,White,Rochester W1 P7,2
65+,Female,White,Rochester W1 P8,5
65+,Female,White,Rochester W1 P9,4
65+,Female,White,Rochester W2 P1,4
65+,Female,White,Rochester W2 P10,14
65+,Female,White,Rochester W2 P11,6
65+,Female,White,Rochester W2 P2,7
65+,Female,White,Rochester W2 P3,1
