Age,Gender,Party,Precinct,Total Registered: 2020
18 to 24,Male,Democrat,Byron,1
18 to 24,Male,Democrat,Dodge Center P-1,1
18 to 24,Male,Democrat,Kasson P-2,1
18 to 24,Male,Democrat,Rochester W1 P10,1
18 to 24,Male,Democrat,Rochester W1 P11,2
18 to 24,Male,Democrat,Rochester W1 P13,1
18 to 24,Male,Democrat,Rochester W1 P8,1
18 to 24,Male,Democrat,Rochester W2 P10,1
18 to 24,Male,Democrat,Rochester W2 P6,1
18 to 24,Male,Democrat,Rochester W4 P11,1
18 to 24,Male,Democrat,Byron,2
18 to 24,Male,Democrat,Hayfield,1
18 to 24,Male,Democrat,Kalmar Twp.,1
18 to 24,Male,Democrat,Kasson P-1,1
18 to 24,Male,Democrat,Kasson P-2,2
18 to 24,Male,Democrat,Mantorville,2
18 to 24,Male,Democrat,Ripley Twp.,1
18 to 24,Male,Democrat,Rochester Twp P-1,2
18 to 24,Male,Democrat,Rochester Twp P-2,1
18 to 24,Male,Democrat,Rochester W1 P1,1
18 to 24,Male,Democrat,Rochester W1 P10,2
18 to 24,Male,Democrat,Rochester W1 P11,1
18 to 24,Male,Democrat,Rochester W1 P12,2
18 to 24,Male,Democrat,Rochester W1 P13,3
18 to 24,Male,Democrat,Rochester W1 P2,5
18 to 24,Male,Democrat,Rochester W1 P4,1
18 to 24,Male,Democrat,Rochester W1 P5,1
18 to 24,Male,Democrat,Rochester W1 P7,2
18 to 24,Male,Democrat,Rochester W1 P8,3
18 to 24,Male,Democrat,Rochester W2 P1,2
18 to 24,Male,Democrat,Rochester W2 P10,4
18 to 24,Male,Democrat,Rochester W2 P11,5
18 to 24,Male,Democrat,Rochester W2 P2,3
18 to 24,Male,Democrat,Rochester W2 P3,1
18 to 24,Male,Democrat,Rochester W2 P4,2
18 to 24,Male,Democrat,Rochester W2 P9,3
18 to 24,Male,Democrat,Rochester W4 P10,1
18 to 24,Male,Democrat,Rochester W4 P11,1
18 to 24,Male,Democrat,Rochester W4 P12,2
18 to 24,Male,Democrat,Rochester W4 P13,1
18 to 24,Male,Democrat,Rochester W4 P8,2
18 to 24,Male,Democrat,Rochester W5 P14,1
18 to 24,Male,Democrat,Stewartville,3
18 to 24,Male,Democrat,Vernon Twp.,1
18 to 24,Male,Democrat,Wasioja Twp.,2
18 to 24,Male,Democrat,Byron,1
18 to 24,Male,Democrat,Dodge Center P-1,3
18 to 24,Male,Democrat,Kasson P-3,2
18 to 24,Male,Democrat,Rochester W1 P1,1
18 to 24,Male,Democrat,Rochester W1 P10,2
18 to 24,Male,Democrat,Rochester W1 P11,1
18 to 24,Male,Democrat,Rochester W1 P13,1
18 to 24,Male,Democrat,Rochester W1 P4,1
18 to 24,Male,Democrat,Rochester W1 P6,1
18 to 24,Male,Democrat,Rochester W1 P7,1
18 to 24,Male,Democrat,Rochester W1 P8,2
18 to 24,Male,Democrat,Rochester W2 P1,1
18 to 24,Male,Democrat,Rochester W2 P3,2
18 to 24,Male,Democrat,Rochester W2 P4,2
18 to 24,Male,Democrat,Rochester W2 P5,3
18 to 24,Male,Democrat,Rochester W4 P10,1
18 to 24,Male,Democrat,Rochester W4 P11,1
18 to 24,Male,Democrat,Rochester W4 P12,1
18 to 24,Male,Democrat,Salem Twp.,1
18 to 24,Male,Democrat,Stewartville,3
18 to 24,Male,Democrat,West Concord,2
18 to 24,Male,Independent / Undecided / Swing,Kasson P-2,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P1,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P10,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W4 P12,1
18 to 24,Male,Independent / Undecided / Swing,Salem Twp.,1
18 to 24,Male,Independent / Undecided / Swing,Stewartville,1
18 to 24,Male,Independent / Undecided / Swing,Byron,5
18 to 24,Male,Independent / Undecided / Swing,Dodge Center P-1,3
18 to 24,Male,Independent / Undecided / Swing,Dodge Center P-2,1
18 to 24,Male,Independent / Undecided / Swing,Hayfield,1
18 to 24,Male,Independent / Undecided / Swing,High Forest Twp.,1
18 to 24,Male,Independent / Undecided / Swing,Kalmar Twp.,1
18 to 24,Male,Independent / Undecided / Swing,Kasson P-1,1
18 to 24,Male,Independent / Undecided / Swing,Kasson P-2,4
18 to 24,Male,Independent / Undecided / Swing,Mantorville,2
18 to 24,Male,Independent / Undecided / Swing,Mantorville Twp.,1
18 to 24,Male,Independent / Undecided / Swing,Rochester Twp P-1,3
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P1,3
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P10,4
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P11,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P12,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P5,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P6,2
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P7,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P8,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P1,3
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P10,2
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P11,2
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P2,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P3,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P4,2
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P5,2
18 to 24,Male,Independent / Undecided / Swing,Rochester W4 P10,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W4 P12,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W4 P9,1
18 to 24,Male,Independent / Undecided / Swing,Stewartville,7
18 to 24,Male,Independent / Undecided / Swing,Vernon Twp.,1
18 to 24,Male,Independent / Undecided / Swing,Wasioja Twp.,1
18 to 24,Male,Independent / Undecided / Swing,West Concord,1
18 to 24,Male,Republican,Cascade Twp. P-3,1
18 to 24,Male,Republican,Dodge Center P-1,1
18 to 24,Male,Republican,Kasson P-2,1
18 to 24,Male,Republican,Rochester W1 P1,1
18 to 24,Male,Republican,Rochester W1 P13,2
18 to 24,Male,Republican,Rochester W1 P2,1
18 to 24,Male,Republican,Rochester W1 P4,1
18 to 24,Male,Republican,Rochester W1 P7,2
18 to 24,Male,Republican,Rochester W4 P10,2
18 to 24,Male,Republican,West Concord,1
18 to 24,Male,Republican,Byron,2
18 to 24,Male,Republican,Claremont,2
18 to 24,Male,Republican,Kalmar Twp.,1
18 to 24,Male,Republican,Kasson P-3,1
18 to 24,Male,Republican,Mantorville,1
18 to 24,Male,Republican,Mantorville Twp.,4
18 to 24,Male,Republican,Rochester W1 P10,2
18 to 24,Male,Republican,Rochester W1 P11,1
18 to 24,Male,Republican,Rochester W1 P13,2
18 to 24,Male,Republican,Rochester W1 P4,1
18 to 24,Male,Republican,Rochester W1 P6,3
18 to 24,Male,Republican,Rochester W1 P7,2
18 to 24,Male,Republican,Rochester W2 P1,2
18 to 24,Male,Republican,Rochester W2 P10,1
18 to 24,Male,Republican,Rochester W2 P11,1
18 to 24,Male,Republican,Rochester W2 P2,3
18 to 24,Male,Republican,Rochester W2 P4,1
18 to 24,Male,Republican,Rochester W2 P5,3
18 to 24,Male,Republican,Rochester W4 P10,1
18 to 24,Male,Republican,Rochester W4 P11,2
18 to 24,Male,Republican,Rochester W4 P13,1
18 to 24,Male,Republican,Rochester W4 P8,1
18 to 24,Male,Republican,Stewartville,6
18 to 24,Male,Republican,Vernon Twp.,1
18 to 24,Male,Republican,Westfield Twp.,2
18 to 24,Male,Republican,Rochester W1 P1,1
18 to 24,Male,No Data / Unknown,Byron,2
18 to 24,Male,No Data / Unknown,Claremont,1
18 to 24,Male,No Data / Unknown,Rochester Twp P-1,1
18 to 24,Male,No Data / Unknown,Rochester W1 P1,1
18 to 24,Male,No Data / Unknown,Rochester W1 P11,1
18 to 24,Male,No Data / Unknown,Rochester W1 P13,1
18 to 24,Male,No Data / Unknown,Rochester W1 P14,1
18 to 24,Male,No Data / Unknown,Rochester W1 P2,3
18 to 24,Male,No Data / Unknown,Rochester W1 P6,1
18 to 24,Male,No Data / Unknown,Rochester W1 P8,3
18 to 24,Male,No Data / Unknown,Rochester W2 P1,1
18 to 24,Male,No Data / Unknown,Rochester W2 P10,2
18 to 24,Male,No Data / Unknown,Rochester W2 P11,1
18 to 24,Male,No Data / Unknown,Rochester W2 P3,1
18 to 24,Male,No Data / Unknown,Rochester W2 P9,1
18 to 24,Male,No Data / Unknown,Salem Twp.,1
18 to 24,Male,No Data / Unknown,Stewartville,7
18 to 24,Male,No Data / Unknown,Ashland Twp.,2
18 to 24,Male,No Data / Unknown,Byron,91
18 to 24,Male,No Data / Unknown,Canisteo Twp.,11
18 to 24,Male,No Data / Unknown,Cascade Twp. P-3,1
18 to 24,Male,No Data / Unknown,Claremont,5
18 to 24,Male,No Data / Unknown,Claremont Twp.,9
18 to 24,Male,No Data / Unknown,Concord Twp.,7
18 to 24,Male,No Data / Unknown,Dodge Center P-1,33
18 to 24,Male,No Data / Unknown,Dodge Center P-2,10
18 to 24,Male,No Data / Unknown,Ellington Twp.,3
18 to 24,Male,No Data / Unknown,Hayfield,22
18 to 24,Male,No Data / Unknown,Hayfield Twp.,8
18 to 24,Male,No Data / Unknown,High Forest Twp.,13
18 to 24,Male,No Data / Unknown,Kalmar Twp.,15
18 to 24,Male,No Data / Unknown,Kasson P-1,16
18 to 24,Male,No Data / Unknown,Kasson P-2,62
18 to 24,Male,No Data / Unknown,Kasson P-3,15
18 to 24,Male,No Data / Unknown,Mantorville,22
18 to 24,Male,No Data / Unknown,Mantorville Twp.,27
18 to 24,Male,No Data / Unknown,Milton Twp.,13
18 to 24,Male,No Data / Unknown,Ripley Twp.,2
18 to 24,Male,No Data / Unknown,Rochester Twp P-1,28
18 to 24,Male,No Data / Unknown,Rochester Twp P-2,2
18 to 24,Male,No Data / Unknown,Rochester Twp P-3,2
18 to 24,Male,No Data / Unknown,Rochester W1 P1,18
18 to 24,Male,No Data / Unknown,Rochester W1 P10,20
18 to 24,Male,No Data / Unknown,Rochester W1 P11,17
18 to 24,Male,No Data / Unknown,Rochester W1 P12,34
18 to 24,Male,No Data / Unknown,Rochester W1 P13,33
18 to 24,Male,No Data / Unknown,Rochester W1 P14,11
18 to 24,Male,No Data / Unknown,Rochester W1 P2,21
18 to 24,Male,No Data / Unknown,Rochester W1 P4,15
18 to 24,Male,No Data / Unknown,Rochester W1 P5,10
18 to 24,Male,No Data / Unknown,Rochester W1 P6,30
18 to 24,Male,No Data / Unknown,Rochester W1 P7,26
18 to 24,Male,No Data / Unknown,Rochester W1 P8,24
18 to 24,Male,No Data / Unknown,Rochester W1 P9,11
18 to 24,Male,No Data / Unknown,Rochester W2 P1,18
18 to 24,Male,No Data / Unknown,Rochester W2 P10,35
18 to 24,Male,No Data / Unknown,Rochester W2 P11,31
18 to 24,Male,No Data / Unknown,Rochester W2 P2,7
18 to 24,Male,No Data / Unknown,Rochester W2 P3,17
18 to 24,Male,No Data / Unknown,Rochester W2 P4,16
18 to 24,Male,No Data / Unknown,Rochester W2 P5,9
18 to 24,Male,No Data / Unknown,Rochester W2 P6,11
18 to 24,Male,No Data / Unknown,Rochester W2 P9,9
18 to 24,Male,No Data / Unknown,Rochester W4 P10,12
18 to 24,Male,No Data / Unknown,Rochester W4 P11,18
18 to 24,Male,No Data / Unknown,Rochester W4 P12,24
18 to 24,Male,No Data / Unknown,Rochester W4 P13,7
18 to 24,Male,No Data / Unknown,Rochester W4 P8,22
18 to 24,Male,No Data / Unknown,Rochester W4 P9,8
18 to 24,Male,No Data / Unknown,Rochester W5 P14,11
18 to 24,Male,No Data / Unknown,Rock Dell Twp.,8
18 to 24,Male,No Data / Unknown,Salem Twp.,17
18 to 24,Male,No Data / Unknown,Stewartville,86
18 to 24,Male,No Data / Unknown,Vernon Twp.,13
18 to 24,Male,No Data / Unknown,Wasioja Twp.,15
18 to 24,Male,No Data / Unknown,West Concord,11
18 to 24,Male,No Data / Unknown,Westfield Twp.,7
18 to 24,Female,Democrat,Byron,2
18 to 24,Female,Democrat,Dodge Center P-1,2
18 to 24,Female,Democrat,Rochester Twp P-1,1
18 to 24,Female,Democrat,Rochester W1 P1,1
18 to 24,Female,Democrat,Rochester W1 P11,1
18 to 24,Female,Democrat,Rochester W1 P12,1
18 to 24,Female,Democrat,Rochester W1 P13,3
18 to 24,Female,Democrat,Rochester W1 P7,3
18 to 24,Female,Democrat,Rochester W1 P8,1
18 to 24,Female,Democrat,Rochester W2 P10,1
18 to 24,Female,Democrat,Rochester W2 P6,1
18 to 24,Female,Democrat,Byron,9
18 to 24,Female,Democrat,Canisteo Twp.,2
18 to 24,Female,Democrat,Dodge Center P-1,2
18 to 24,Female,Democrat,Dodge Center P-2,1
18 to 24,Female,Democrat,Hayfield,1
18 to 24,Female,Democrat,Hayfield Twp.,1
18 to 24,Female,Democrat,High Forest Twp.,1
18 to 24,Female,Democrat,Kasson P-2,6
18 to 24,Female,Democrat,Kasson P-3,1
18 to 24,Female,Democrat,Mantorville,1
18 to 24,Female,Democrat,Mantorville Twp.,6
18 to 24,Female,Democrat,Milton Twp.,1
18 to 24,Female,Democrat,Rochester Twp P-1,4
18 to 24,Female,Democrat,Rochester W1 P1,2
18 to 24,Female,Democrat,Rochester W1 P10,3
18 to 24,Female,Democrat,Rochester W1 P11,3
18 to 24,Female,Democrat,Rochester W1 P12,3
18 to 24,Female,Democrat,Rochester W1 P13,5
18 to 24,Female,Democrat,Rochester W1 P2,3
18 to 24,Female,Democrat,Rochester W1 P4,3
18 to 24,Female,Democrat,Rochester W1 P5,1
18 to 24,Female,Democrat,Rochester W1 P7,3
18 to 24,Female,Democrat,Rochester W1 P8,3
18 to 24,Female,Democrat,Rochester W2 P1,2
18 to 24,Female,Democrat,Rochester W2 P10,4
18 to 24,Female,Democrat,Rochester W2 P11,3
18 to 24,Female,Democrat,Rochester W2 P2,2
18 to 24,Female,Democrat,Rochester W2 P3,4
18 to 24,Female,Democrat,Rochester W2 P4,2
18 to 24,Female,Democrat,Rochester W2 P5,2
18 to 24,Female,Democrat,Rochester W2 P6,2
18 to 24,Female,Democrat,Rochester W2 P9,2
18 to 24,Female,Democrat,Rochester W4 P10,2
18 to 24,Female,Democrat,Rochester W4 P11,3
18 to 24,Female,Democrat,Rochester W4 P12,3
18 to 24,Female,Democrat,Rochester W4 P13,1
18 to 24,Female,Democrat,Rochester W4 P8,3
18 to 24,Female,Democrat,Rochester W4 P9,1
18 to 24,Female,Democrat,Rochester W5 P14,1
18 to 24,Female,Democrat,Salem Twp.,1
18 to 24,Female,Democrat,Stewartville,8
18 to 24,Female,Democrat,Wasioja Twp.,1
18 to 24,Female,Democrat,West Concord,2
18 to 24,Female,Democrat,Byron,3
18 to 24,Female,Democrat,Dodge Center P-1,1
18 to 24,Female,Democrat,Dodge Center P-2,1
18 to 24,Female,Democrat,High Forest Twp.,1
18 to 24,Female,Democrat,Kasson P-2,2
18 to 24,Female,Democrat,Rochester Twp P-1,2
18 to 24,Female,Democrat,Rochester W1 P1,2
18 to 24,Female,Democrat,Rochester W1 P10,2
18 to 24,Female,Democrat,Rochester W1 P12,1
18 to 24,Female,Democrat,Rochester W1 P2,1
18 to 24,Female,Democrat,Rochester W1 P5,1
18 to 24,Female,Democrat,Rochester W1 P6,1
18 to 24,Female,Democrat,Rochester W2 P1,2
18 to 24,Female,Democrat,Rochester W2 P10,1
18 to 24,Female,Democrat,Rochester W2 P5,1
18 to 24,Female,Democrat,Rochester W2 P6,2
18 to 24,Female,Democrat,Rochester W2 P9,1
18 to 24,Female,Democrat,Rochester W4 P11,1
18 to 24,Female,Democrat,Rochester W4 P12,2
18 to 24,Female,Democrat,Rochester W4 P13,1
18 to 24,Female,Democrat,Salem Twp.,1
18 to 24,Female,Democrat,Stewartville,1
18 to 24,Female,Independent / Undecided / Swing,High Forest Twp.,1
18 to 24,Female,Independent / Undecided / Swing,Kasson P-2,1
18 to 24,Female,Independent / Undecided / Swing,Kasson P-3,1
18 to 24,Female,Independent / Undecided / Swing,Rochester W1 P4,1
18 to 24,Female,Independent / Undecided / Swing,Rochester W1 P7,1
18 to 24,Female,Independent / Undecided / Swing,Rochester W4 P8,2
18 to 24,Female,Independent / Undecided / Swing,Stewartville,1
18 to 24,Female,Independent / Undecided / Swing,Byron,1
18 to 24,Female,Independent / Undecided / Swing,Dodge Center P-1,1
18 to 24,Female,Independent / Undecided / Swing,Dodge Center P-2,1
18 to 24,Female,Independent / Undecided / Swing,High Forest Twp.,3
18 to 24,Female,Independent / Undecided / Swing,Kasson P-2,1
18 to 24,Female,Independent / Undecided / Swing,Mantorville,1
18 to 24,Female,Independent / Undecided / Swing,Milton Twp.,1
18 to 24,Female,Independent / Undecided / Swing,Rochester Twp P-1,1
18 to 24,Female,Independent / Undecided / Swing,Rochester W1 P10,1
18 to 24,Female,Independent / Undecided / Swing,Rochester W1 P13,2
18 to 24,Female,Independent / Undecided / Swing,Rochester W1 P2,2
18 to 24,Female,Independent / Undecided / Swing,Rochester W1 P4,2
18 to 24,Female,Independent / Undecided / Swing,Rochester W1 P5,1
18 to 24,Female,Independent / Undecided / Swing,Rochester W1 P8,2
18 to 24,Female,Independent / Undecided / Swing,Rochester W1 P9,2
18 to 24,Female,Independent / Undecided / Swing,Rochester W2 P1,1
18 to 24,Female,Independent / Undecided / Swing,Rochester W2 P10,1
18 to 24,Female,Independent / Undecided / Swing,Rochester W2 P11,2
18 to 24,Female,Independent / Undecided / Swing,Rochester W2 P4,1
18 to 24,Female,Independent / Undecided / Swing,Rochester W2 P5,4
18 to 24,Female,Independent / Undecided / Swing,Rochester W2 P6,3
18 to 24,Female,Independent / Undecided / Swing,Rochester W4 P10,1
18 to 24,Female,Independent / Undecided / Swing,Rochester W4 P11,1
18 to 24,Female,Independent / Undecided / Swing,Rochester W4 P12,1
18 to 24,Female,Independent / Undecided / Swing,Rock Dell Twp.,2
18 to 24,Female,Independent / Undecided / Swing,Salem Twp.,2
18 to 24,Female,Independent / Undecided / Swing,Stewartville,9
18 to 24,Female,Republican,Byron,1
18 to 24,Female,Republican,Kasson P-2,1
18 to 24,Female,Republican,Rochester W1 P10,1
18 to 24,Female,Republican,Rochester W1 P12,1
18 to 24,Female,Republican,Rochester W1 P13,1
18 to 24,Female,Republican,Rochester W1 P7,1
18 to 24,Female,Republican,Rochester W2 P10,1
18 to 24,Female,Republican,Rochester W2 P4,1
18 to 24,Female,Republican,Rock Dell Twp.,1
18 to 24,Female,Republican,Byron,3
18 to 24,Female,Republican,Dodge Center P-1,1
18 to 24,Female,Republican,Ellington Twp.,1
18 to 24,Female,Republican,Hayfield,1
18 to 24,Female,Republican,Kalmar Twp.,1
18 to 24,Female,Republican,Kasson P-2,3
18 to 24,Female,Republican,Kasson P-3,1
18 to 24,Female,Republican,Milton Twp.,2
18 to 24,Female,Republican,Rochester W1 P1,1
18 to 24,Female,Republican,Rochester W1 P12,3
18 to 24,Female,Republican,Rochester W1 P9,1
18 to 24,Female,Republican,Rochester W2 P10,1
18 to 24,Female,Republican,Rochester W2 P5,1
18 to 24,Female,Republican,Rochester W4 P8,1
18 to 24,Female,Republican,Stewartville,2
18 to 24,Female,Republican,Vernon Twp.,1
18 to 24,Female,Republican,West Concord,2
18 to 24,Female,Republican,Westfield Twp.,2
18 to 24,Female,No Data / Unknown,Byron,5
18 to 24,Female,No Data / Unknown,Claremont Twp.,1
18 to 24,Female,No Data / Unknown,Dodge Center P-1,1
18 to 24,Female,No Data / Unknown,Milton Twp.,1
18 to 24,Female,No Data / Unknown,Rochester Twp P-1,1
18 to 24,Female,No Data / Unknown,Rochester W1 P11,1
18 to 24,Female,No Data / Unknown,Rochester W1 P12,1
18 to 24,Female,No Data / Unknown,Rochester W1 P13,1
18 to 24,Female,No Data / Unknown,Rochester W1 P14,1
18 to 24,Female,No Data / Unknown,Rochester W1 P6,1
18 to 24,Female,No Data / Unknown,Rochester W1 P7,3
18 to 24,Female,No Data / Unknown,Rochester W2 P1,2
18 to 24,Female,No Data / Unknown,Rochester W2 P10,1
18 to 24,Female,No Data / Unknown,Rochester W2 P11,1
18 to 24,Female,No Data / Unknown,Rochester W2 P5,1
18 to 24,Female,No Data / Unknown,Rochester W2 P6,3
18 to 24,Female,No Data / Unknown,Rochester W4 P10,1
18 to 24,Female,No Data / Unknown,Rochester W4 P11,1
18 to 24,Female,No Data / Unknown,Stewartville,2
18 to 24,Female,No Data / Unknown,Ashland Twp.,3
18 to 24,Female,No Data / Unknown,Byron,97
18 to 24,Female,No Data / Unknown,Canisteo Twp.,11
18 to 24,Female,No Data / Unknown,Cascade Twp. P-3,3
18 to 24,Female,No Data / Unknown,Claremont,3
18 to 24,Female,No Data / Unknown,Claremont Twp.,5
18 to 24,Female,No Data / Unknown,Concord Twp.,9
18 to 24,Female,No Data / Unknown,Dodge Center P-1,24
18 to 24,Female,No Data / Unknown,Dodge Center P-2,5
18 to 24,Female,No Data / Unknown,Ellington Twp.,3
18 to 24,Female,No Data / Unknown,Hayfield,15
18 to 24,Female,No Data / Unknown,Hayfield Twp.,12
18 to 24,Female,No Data / Unknown,High Forest Twp.,13
18 to 24,Female,No Data / Unknown,Kalmar Twp.,14
18 to 24,Female,No Data / Unknown,Kasson P-1,8
18 to 24,Female,No Data / Unknown,Kasson P-2,52
18 to 24,Female,No Data / Unknown,Kasson P-3,21
18 to 24,Female,No Data / Unknown,Mantorville,24
18 to 24,Female,No Data / Unknown,Mantorville Twp.,37
18 to 24,Female,No Data / Unknown,Marion Twp. P-2,1
18 to 24,Female,No Data / Unknown,Milton Twp.,12
18 to 24,Female,No Data / Unknown,Ripley Twp.,4
18 to 24,Female,No Data / Unknown,Rochester Twp P-1,33
18 to 24,Female,No Data / Unknown,Rochester Twp P-2,4
18 to 24,Female,No Data / Unknown,Rochester Twp P-3,1
18 to 24,Female,No Data / Unknown,Rochester W1 P1,17
18 to 24,Female,No Data / Unknown,Rochester W1 P10,29
18 to 24,Female,No Data / Unknown,Rochester W1 P11,19
18 to 24,Female,No Data / Unknown,Rochester W1 P12,35
18 to 24,Female,No Data / Unknown,Rochester W1 P13,42
18 to 24,Female,No Data / Unknown,Rochester W1 P14,10
18 to 24,Female,No Data / Unknown,Rochester W1 P2,13
18 to 24,Female,No Data / Unknown,Rochester W1 P4,23
18 to 24,Female,No Data / Unknown,Rochester W1 P5,6
18 to 24,Female,No Data / Unknown,Rochester W1 P6,27
18 to 24,Female,No Data / Unknown,Rochester W1 P7,22
18 to 24,Female,No Data / Unknown,Rochester W1 P8,19
18 to 24,Female,No Data / Unknown,Rochester W1 P9,12
18 to 24,Female,No Data / Unknown,Rochester W2 P1,27
18 to 24,Female,No Data / Unknown,Rochester W2 P10,23
18 to 24,Female,No Data / Unknown,Rochester W2 P11,21
18 to 24,Female,No Data / Unknown,Rochester W2 P2,9
18 to 24,Female,No Data / Unknown,Rochester W2 P3,21
18 to 24,Female,No Data / Unknown,Rochester W2 P4,11
18 to 24,Female,No Data / Unknown,Rochester W2 P5,13
18 to 24,Female,No Data / Unknown,Rochester W2 P6,22
18 to 24,Female,No Data / Unknown,Rochester W2 P9,8
18 to 24,Female,No Data / Unknown,Rochester W4 P10,21
18 to 24,Female,No Data / Unknown,Rochester W4 P11,25
18 to 24,Female,No Data / Unknown,Rochester W4 P12,22
18 to 24,Female,No Data / Unknown,Rochester W4 P13,10
18 to 24,Female,No Data / Unknown,Rochester W4 P8,20
18 to 24,Female,No Data / Unknown,Rochester W4 P9,11
18 to 24,Female,No Data / Unknown,Rochester W5 P14,5
18 to 24,Female,No Data / Unknown,Rock Dell Twp.,8
18 to 24,Female,No Data / Unknown,Salem Twp.,18
18 to 24,Female,No Data / Unknown,Stewartville,89
18 to 24,Female,No Data / Unknown,Vernon Twp.,8
18 to 24,Female,No Data / Unknown,Wasioja Twp.,18
18 to 24,Female,No Data / Unknown,West Concord,10
18 to 24,Female,No Data / Unknown,Westfield Twp.,11
18 to 24,Unknown,Democrat,Byron,1
18 to 24,Unknown,Democrat,Rochester Twp P-1,1
18 to 24,Unknown,Democrat,Rochester W1 P5,2
18 to 24,Unknown,Democrat,Rochester W1 P6,1
18 to 24,Unknown,Democrat,Rochester W1 P8,1
18 to 24,Unknown,Democrat,Rochester W4 P11,1
18 to 24,Unknown,Democrat,Rochester W4 P12,1
18 to 24,Unknown,Democrat,Rochester W4 P8,1
18 to 24,Unknown,Democrat,Rochester W4 P9,1
18 to 24,Unknown,Democrat,Stewartville,1
18 to 24,Unknown,Democrat,Ashland Twp.,1
18 to 24,Unknown,Democrat,Byron,7
18 to 24,Unknown,Democrat,Hayfield,1
18 to 24,Unknown,Democrat,Kasson P-3,4
18 to 24,Unknown,Democrat,Mantorville,1
18 to 24,Unknown,Democrat,Mantorville Twp.,2
18 to 24,Unknown,Democrat,Rochester Twp P-1,3
18 to 24,Unknown,Democrat,Rochester W1 P10,1
18 to 24,Unknown,Democrat,Rochester W1 P11,1
18 to 24,Unknown,Democrat,Rochester W1 P12,3
18 to 24,Unknown,Democrat,Rochester W1 P13,4
18 to 24,Unknown,Democrat,Rochester W1 P4,4
18 to 24,Unknown,Democrat,Rochester W1 P6,3
18 to 24,Unknown,Democrat,Rochester W1 P7,1
18 to 24,Unknown,Democrat,Rochester W1 P8,1
18 to 24,Unknown,Democrat,Rochester W2 P1,7
18 to 24,Unknown,Democrat,Rochester W2 P11,2
18 to 24,Unknown,Democrat,Rochester W2 P3,1
18 to 24,Unknown,Democrat,Rochester W2 P4,1
18 to 24,Unknown,Democrat,Rochester W2 P5,1
18 to 24,Unknown,Democrat,Rochester W4 P10,1
18 to 24,Unknown,Democrat,Rochester W4 P11,1
18 to 24,Unknown,Democrat,Rochester W4 P12,2
18 to 24,Unknown,Democrat,Rochester W4 P8,1
18 to 24,Unknown,Democrat,Rochester W4 P9,4
18 to 24,Unknown,Democrat,Salem Twp.,1
18 to 24,Unknown,Democrat,Stewartville,3
18 to 24,Unknown,Democrat,Vernon Twp.,1
18 to 24,Unknown,Democrat,Byron,1
18 to 24,Unknown,Democrat,Hayfield Twp.,2
18 to 24,Unknown,Democrat,Milton Twp.,1
18 to 24,Unknown,Democrat,Rochester W1 P10,1
18 to 24,Unknown,Democrat,Rochester W1 P11,2
18 to 24,Unknown,Democrat,Rochester W2 P1,3
18 to 24,Unknown,Democrat,Rochester W2 P6,1
18 to 24,Unknown,Democrat,Rochester W4 P10,1
18 to 24,Unknown,Democrat,Rochester W4 P12,1
18 to 24,Unknown,Democrat,Rochester W4 P9,1
18 to 24,Unknown,Democrat,Stewartville,3
18 to 24,Unknown,Independent / Undecided / Swing,Rochester W1 P7,1
18 to 24,Unknown,Independent / Undecided / Swing,Rochester W4 P10,1
18 to 24,Unknown,Independent / Undecided / Swing,Byron,1
18 to 24,Unknown,Independent / Undecided / Swing,Kasson P-3,1
18 to 24,Unknown,Independent / Undecided / Swing,Rochester Twp P-1,1
18 to 24,Unknown,Independent / Undecided / Swing,Rochester W1 P14,1
18 to 24,Unknown,Independent / Undecided / Swing,Rochester W2 P3,1
18 to 24,Unknown,Independent / Undecided / Swing,Stewartville,1
18 to 24,Unknown,Independent / Undecided / Swing,Byron,3
18 to 24,Unknown,Independent / Undecided / Swing,Canisteo Twp.,1
18 to 24,Unknown,Independent / Undecided / Swing,Dodge Center P-1,1
18 to 24,Unknown,Independent / Undecided / Swing,Dodge Center P-2,1
18 to 24,Unknown,Independent / Undecided / Swing,Kalmar Twp.,3
18 to 24,Unknown,Independent / Undecided / Swing,Mantorville Twp.,2
18 to 24,Unknown,Independent / Undecided / Swing,Rochester W1 P10,1
